Episode,BotName,BotId,SharedQTable,LearningEnabled,TotalReward,CheckpointsReached,BestCheckpointIndex,TargetCheckpointIndex,CoinsCollected,BombsHit,Duration,Epsilon,EndReason,LearnedStateCount,QTableFile,NewBest,TimeSinceCheckpointProgress,LastAction,LastState
1,Bot 10,B10,TRUE,FALSE,93.757,3,2,3,0,0,55.183,0.1,Stuck,2311,q_table_v7_best.json,FALSE,45.066,Brake,cp:3|dist:far|angle:hardLeft|speed:fast|progress:danger|bomb:False|fsm:Recover
2,Bot 02,B02,TRUE,FALSE,107.431,3,2,3,0,0,56.092,0.1,Stuck,2312,q_table_v7_best.json,FALSE,45.061,HardLeft,cp:3|dist:medium|angle:left|speed:slow|progress:danger|bomb:False|fsm:Recover
3,Bot 04,B04,TRUE,FALSE,105.078,3,2,3,4,0,57.335,0.1,Stuck,2314,q_table_v7_best.json,FALSE,45.059,AccelerateForward,cp:3|dist:far|angle:right|speed:fast|progress:danger|bomb:False|fsm:Recover
4,Bot 05,B05,TRUE,FALSE,138.658,4,3,4,2,0,58.084,0.1,Stuck,2314,q_table_v7_best.json,FALSE,45.083,Brake,cp:4|dist:far|angle:behindRight|speed:cruise|progress:danger|bomb:False|fsm:Recover
5,Bot 07,B07,TRUE,FALSE,206.561,6,5,6,0,0,69.45,0.1,Stuck,2317,q_table_v7_best.json,FALSE,45.059,Brake,cp:6|dist:far|angle:left|speed:slow|progress:danger|bomb:False|fsm:Recover
6,Bot 06,B06,TRUE,FALSE,413.108,12,11,12,0,1,93.682,0.1,Stuck,2331,q_table_v7_best.json,FALSE,45.058,HardRight,cp:12|dist:medium|angle:behindLeft|speed:slow|progress:danger|bomb:False|fsm:Recover
7,Bot 03,B03,TRUE,FALSE,419.911,12,11,12,1,1,98.166,0.1,Stuck,2336,q_table_v7_best.json,FALSE,45.058,AccelerateForward,cp:12|dist:close|angle:forward|speed:slow|progress:danger|bomb:False|fsm:Racing
8,Bot 09,B09,TRUE,FALSE,421.079,12,11,12,4,0,99.327,0.1,Stuck,2336,q_table_v7_best.json,FALSE,45.063,RecoveryTurn,cp:12|dist:close|angle:forward|speed:slow|progress:danger|bomb:False|fsm:Racing
9,Bot 08,B08,TRUE,FALSE,543.942,15,14,15,0,0,104.634,0.1,RaceComplete,2340,q_table_v7_best.json,FALSE,6.305,Coast,cp:finish|dist:close|angle:forward|speed:cruise|progress:fresh|bomb:False|fsm:Racing
10,Bot 01,B01,TRUE,FALSE,398.914,11,10,11,3,0,108.293,0.1,Stuck,2341,q_table_v7_best.json,FALSE,45.067,AccelerateForward,cp:11|dist:far|angle:forward|speed:max|progress:danger|bomb:False|fsm:Recover
