Episode,TotalReward,CheckpointsReached,CoinsCollected,BombsHit,Duration,Epsilon
1,64.787,3,0,0,60.149,0.8
2,112.41,7,3,0,60.048,0.784
3,39.933,2,0,0,60.027,0.768
4,55.453,2,0,0,60.015,0.753
5,87.927,4,3,1,60.032,0.738
6,58.061,2,0,0,60.011,0.723
7,49.375,2,0,0,60.019,0.709
8,66.532,2,0,0,60.034,0.695
9,89.225,5,5,1,60.002,0.681
10,50.461,3,0,0,60.02,0.667
11,44.386,2,0,0,60.022,0.654
12,32.102,2,0,0,60.033,0.641
13,99.832,5,3,1,60.023,0.628
14,120.6,6,7,0,60.013,0.615
15,65.713,4,0,0,60.016,0.603
16,45.146,3,1,1,60.023,0.591
17,64.14,3,0,0,60.022,0.579
18,45.821,2,0,0,60.019,0.567
19,46.754,2,0,0,60.018,0.556
20,88.774,4,2,0,60.027,0.545
21,46.96,3,0,0,60.019,0.534
22,61.28,2,0,0,60.016,0.523
23,77.996,2,0,0,60.023,0.513
24,37.055,2,0,0,60.021,0.503
25,73.731,5,1,2,60.021,0.493
26,28.765,1,0,0,60.028,0.483
27,51.595,2,0,0,60.041,0.473
28,127.634,6,10,0,60.16,0.464
29,41.266,2,0,0,60.016,0.454
30,91.267,5,6,2,60.025,0.445
31,68.973,1,0,0,60.02,0.436
32,65.512,2,0,0,60.019,0.428
33,56.73,2,0,0,60.021,0.419
34,72.957,2,0,0,60.02,0.411
35,58.497,2,0,0,60.024,0.403
36,101.114,3,0,0,60.02,0.394
37,60.737,2,0,0,60.018,0.387
38,48.636,2,0,0,60.029,0.379
39,68.644,2,0,0,60.026,0.371
40,43.256,1,0,0,60.012,0.364
41,29.58,1,0,0,60.018,0.357
42,77.474,1,0,0,60.028,0.349
43,36.029,1,0,0,60.023,0.342
44,62.149,2,0,0,60.016,0.336
45,61.383,3,0,0,60.016,0.329
46,87.77,2,0,0,60.023,0.322
47,62.225,2,0,0,60.027,0.316
48,43.493,2,0,0,60.016,0.31
49,80.356,2,0,0,60.015,0.303
50,51.687,2,0,0,60.031,0.297
51,54.56,2,0,0,60.015,0.291
52,48.147,1,0,0,60.019,0.286
53,100.741,5,3,1,60.018,0.28
54,50.051,2,0,0,60.025,0.274
55,113.976,5,4,0,60.017,0.269
56,82.588,1,0,0,60.03,0.263
57,103.89,6,3,0,60.012,0.258
58,117.566,6,5,0,60.019,0.253
59,48.621,2,0,0,60.019,0.248
60,78.328,2,0,0,60.033,0.243
61,90.925,5,0,0,60.012,0.238
62,91.757,5,5,1,60.023,0.233
63,92.18,4,4,0,60.016,0.229
64,47.115,3,2,0,60.022,0.224
65,49.952,2,0,0,60.023,0.22
66,63.905,3,0,1,60.02,0.215
