Episode,TotalReward,CheckpointsReached,BestCheckpointIndex,CoinsCollected,BombsHit,Duration,Epsilon,EndReason,LearnedStateCount,QTableFile,NewBest
1,90.696,3,2,3,1,42.144,1.000,Stuck,22,q_table_v4.json,True
2,67.195,2,1,0,0,29.464,0.995,Stuck,25,q_table_v4.json,False
3,61.190,2,1,4,3,27.714,0.990,Stuck,26,q_table_v4.json,False
4,104.483,3,2,0,0,34.603,0.985,Stuck,32,q_table_v4.json,True
5,66.110,2,1,0,0,25.726,0.980,Stuck,34,q_table_v4.json,False
6,188.984,5,4,6,0,47.964,0.975,Stuck,50,q_table_v4.json,True
7,70.491,2,1,0,0,33.027,0.970,Stuck,51,q_table_v4.json,False
8,66.460,2,1,0,0,26.222,0.966,Stuck,51,q_table_v4.json,False
9,68.150,2,1,0,0,29.874,0.961,Stuck,52,q_table_v4.json,False
10,428.766,12,11,6,1,90.038,0.956,TimeLimit,85,q_table_v4.json,True
11,312.928,9,8,0,1,64.808,0.951,Stuck,92,q_table_v4.json,False
12,63.315,2,1,1,3,30.703,0.946,Stuck,93,q_table_v4.json,False
13,71.070,2,1,0,0,27.716,0.942,Stuck,94,q_table_v4.json,False
14,430.998,12,11,2,0,74.600,0.937,Stuck,99,q_table_v4.json,True
15,58.460,2,1,3,4,27.135,0.932,Stuck,99,q_table_v4.json,False
16,67.791,2,1,0,0,27.549,0.928,Stuck,100,q_table_v4.json,False
17,253.341,7,6,1,1,53.106,0.923,Stuck,108,q_table_v4.json,False
18,66.221,2,1,0,0,29.462,0.918,Stuck,110,q_table_v4.json,False
19,210.918,6,5,4,2,56.096,0.914,Stuck,112,q_table_v4.json,False
20,68.461,2,1,0,0,25.310,0.909,Stuck,112,q_table_v4.json,False
21,512.273,14,13,8,0,90.036,0.905,TimeLimit,122,q_table_v4.json,True
22,63.492,2,1,0,0,29.126,0.900,Stuck,123,q_table_v4.json,False
23,66.041,2,1,0,0,25.311,0.896,Stuck,123,q_table_v4.json,False
24,68.009,2,1,0,0,28.629,0.891,Stuck,123,q_table_v4.json,False
25,257.826,7,6,8,0,79.993,0.887,Stuck,126,q_table_v4.json,False
26,223.767,6,5,5,0,58.086,0.882,Stuck,128,q_table_v4.json,False
27,71.150,2,1,0,0,27.716,0.878,Stuck,128,q_table_v4.json,False
28,66.363,2,1,0,0,33.527,0.873,Stuck,128,q_table_v4.json,False
29,69.446,2,1,0,0,25.725,0.869,Stuck,128,q_table_v4.json,False
30,64.381,2,1,0,0,32.529,0.865,Stuck,128,q_table_v4.json,False
31,248.433,7,6,6,2,71.780,0.860,Stuck,130,q_table_v4.json,False
32,66.272,2,1,0,0,25.722,0.856,Stuck,131,q_table_v4.json,False
33,210.830,6,5,6,3,57.094,0.852,Stuck,132,q_table_v4.json,False
34,68.479,2,1,0,0,27.217,0.848,Stuck,132,q_table_v4.json,False
35,62.476,2,1,1,3,26.222,0.843,Stuck,132,q_table_v4.json,False
36,69.279,2,1,0,0,30.453,0.839,Stuck,132,q_table_v4.json,False
37,103.756,3,2,0,0,32.123,0.835,Stuck,132,q_table_v4.json,False
38,67.653,2,1,0,0,25.466,0.831,Stuck,132,q_table_v4.json,False
39,59.370,2,1,4,4,27.054,0.827,Stuck,132,q_table_v4.json,False
40,107.269,3,2,0,0,39.169,0.822,Stuck,133,q_table_v4.json,False
41,66.793,2,1,0,0,25.223,0.818,Stuck,133,q_table_v4.json,False
42,71.582,2,1,0,0,28.548,0.814,Stuck,133,q_table_v4.json,False
43,97.767,3,2,0,0,34.933,0.810,Stuck,133,q_table_v4.json,False
44,71.045,2,1,0,0,25.229,0.806,Stuck,133,q_table_v4.json,False
45,341.150,9,8,3,0,71.282,0.802,Stuck,138,q_table_v4.json,False
46,80.241,2,1,0,0,28.627,0.798,Stuck,138,q_table_v4.json,False
47,69.064,2,1,0,0,29.626,0.794,Stuck,138,q_table_v4.json,False
48,236.664,7,6,4,3,65.059,0.790,Stuck,139,q_table_v4.json,False
49,77.619,2,1,0,0,29.295,0.786,Stuck,139,q_table_v4.json,False
50,69.361,2,1,0,0,28.046,0.782,Stuck,139,q_table_v4.json,False
51,107.254,3,2,1,0,31.698,0.778,Stuck,141,q_table_v4.json,False
52,71.656,2,1,0,0,27.965,0.774,Stuck,141,q_table_v4.json,False
53,70.550,2,1,0,0,26.638,0.771,Stuck,141,q_table_v4.json,False
54,67.317,2,1,0,0,27.467,0.767,Stuck,141,q_table_v4.json,False
55,65.017,2,1,0,0,25.972,0.763,Stuck,141,q_table_v4.json,False
56,68.380,2,1,0,0,27.469,0.759,Stuck,141,q_table_v4.json,False
57,184.221,5,4,5,0,43.564,0.755,Stuck,142,q_table_v4.json,False
58,71.372,2,1,0,0,26.389,0.751,Stuck,142,q_table_v4.json,False
59,68.287,2,1,0,0,26.635,0.748,Stuck,142,q_table_v4.json,False
60,67.383,2,1,0,0,28.215,0.744,Stuck,142,q_table_v4.json,False
61,319.103,9,8,2,0,65.807,0.740,Stuck,146,q_table_v4.json,False
62,70.039,2,1,0,0,29.540,0.737,Stuck,146,q_table_v4.json,False
63,222.508,6,5,4,0,52.698,0.733,Stuck,146,q_table_v4.json,False
64,67.122,2,1,0,0,27.878,0.729,Stuck,146,q_table_v4.json,False
65,66.939,2,1,0,0,25.726,0.726,Stuck,146,q_table_v4.json,False
66,69.608,2,1,1,0,27.549,0.722,Stuck,146,q_table_v4.json,False
67,69.222,2,1,0,0,31.948,0.718,Stuck,146,q_table_v4.json,False
68,141.536,4,3,0,1,45.641,0.715,Stuck,152,q_table_v4.json,False
69,251.480,7,6,7,1,60.242,0.711,Stuck,152,q_table_v4.json,False
70,317.046,9,8,8,0,57.425,0.708,Stuck,152,q_table_v4.json,False
