Episode,BotName,BotId,SharedQTable,TotalReward,CheckpointsReached,BestCheckpointIndex,CoinsCollected,BombsHit,Duration,Epsilon,EndReason,LearnedStateCount,QTableFile,NewBest
1,Bot 09,B09,True,68.094,2,1,0,0,25.676,1.000,Stuck,42,q_table_v5.json,True
2,Bot 07,B07,True,64.444,2,1,0,0,26.504,0.995,Stuck,44,q_table_v5.json,False
3,Bot 05,B05,True,65.495,2,1,0,0,29.653,0.990,Stuck,50,q_table_v5.json,False
4,Bot 04,B04,True,110.282,3,2,0,0,50.946,0.985,Stuck,74,q_table_v5.json,True
5,Bot 10,B10,True,213.927,6,5,9,1,51.445,0.980,Stuck,76,q_table_v5.json,True
6,Bot 09,B09,True,69.408,2,1,0,0,26.261,0.975,Stuck,77,q_table_v5.json,False
7,Bot 05,B05,True,70.550,2,1,0,0,25.845,0.970,Stuck,81,q_table_v5.json,False
8,Bot 03,B03,True,241.074,7,6,6,2,70.741,0.966,Stuck,90,q_table_v5.json,True
9,Bot 02,B02,True,215.513,6,5,2,3,72.814,0.961,Stuck,91,q_table_v5.json,False
10,Bot 08,B08,True,326.759,9,8,10,1,76.623,0.956,Stuck,98,q_table_v5.json,True
11,Bot 10,B10,True,71.424,2,1,0,0,25.344,0.951,Stuck,98,q_table_v5.json,False
12,Bot 04,B04,True,65.235,2,1,0,0,28.746,0.946,Stuck,99,q_table_v5.json,False
13,Bot 05,B05,True,74.205,2,1,0,0,29.823,0.942,Stuck,105,q_table_v5.json,False
14,Bot 01,B01,True,391.635,11,10,2,1,90.047,0.937,TimeLimit,110,q_table_v5.json,True
15,Bot 06,B06,True,317.528,9,8,2,2,90.047,0.932,TimeLimit,110,q_table_v5.json,False
16,Bot 07,B07,True,288.045,8,7,2,1,64.619,0.928,Stuck,110,q_table_v5.json,False
17,Bot 02,B02,True,64.436,2,1,0,0,27.092,0.923,Stuck,112,q_table_v5.json,False
18,Bot 03,B03,True,102.418,3,2,0,1,32.473,0.918,Stuck,114,q_table_v5.json,False
19,Bot 04,B04,True,64.262,2,1,0,0,25.762,0.914,Stuck,115,q_table_v5.json,False
20,Bot 05,B05,True,66.959,2,1,0,0,26.427,0.909,Stuck,121,q_table_v5.json,False
21,Bot 09,B09,True,243.311,7,6,6,2,60.967,0.905,Stuck,121,q_table_v5.json,False
22,Bot 07,B07,True,66.949,2,1,0,0,31.396,0.900,Stuck,129,q_table_v5.json,False
23,Bot 08,B08,True,186.718,5,4,0,0,46.394,0.896,Stuck,129,q_table_v5.json,False
24,Bot 02,B02,True,66.508,2,1,0,0,30.568,0.891,Stuck,130,q_table_v5.json,False
25,Bot 04,B04,True,65.492,2,1,0,0,28.247,0.887,Stuck,130,q_table_v5.json,False
26,Bot 05,B05,True,36.610,1,0,0,0,22.452,0.882,Stuck,130,q_table_v5.json,False
27,Bot 01,B01,True,91.574,3,2,2,2,44.898,0.878,Stuck,130,q_table_v5.json,False
28,Bot 09,B09,True,70.187,2,1,0,0,25.934,0.873,Stuck,131,q_table_v5.json,False
29,Bot 06,B06,True,218.598,6,5,6,1,63.209,0.869,Stuck,139,q_table_v5.json,False
30,Bot 08,B08,True,107.554,3,2,0,0,33.137,0.865,Stuck,140,q_table_v5.json,False
31,Bot 05,B05,True,65.888,2,1,0,0,25.265,0.860,Stuck,142,q_table_v5.json,False
32,Bot 02,B02,True,111.026,3,2,0,0,33.867,0.856,Stuck,145,q_table_v5.json,False
33,Bot 07,B07,True,180.790,5,4,0,0,43.580,0.852,Stuck,146,q_table_v5.json,False
34,Bot 10,B10,True,436.583,12,11,2,0,90.046,0.848,TimeLimit,146,q_table_v5.json,True
35,Bot 03,B03,True,284.939,8,7,10,0,70.753,0.843,Stuck,146,q_table_v5.json,False
36,Bot 04,B04,True,96.625,3,2,3,3,44.737,0.839,Stuck,147,q_table_v5.json,False
37,Bot 06,B06,True,67.783,2,1,0,0,25.676,0.835,Stuck,147,q_table_v5.json,False
38,Bot 09,B09,True,221.779,6,5,3,0,47.880,0.831,Stuck,147,q_table_v5.json,False
39,Bot 01,B01,True,174.403,5,4,4,2,52.314,0.827,Stuck,148,q_table_v5.json,False
40,Bot 02,B02,True,101.275,3,2,0,0,30.083,0.822,Stuck,148,q_table_v5.json,False
41,Bot 10,B10,True,99.670,3,2,0,0,33.058,0.818,Stuck,148,q_table_v5.json,False
42,Bot 08,B08,True,95.725,3,2,5,1,46.843,0.814,Stuck,148,q_table_v5.json,False
43,Bot 04,B04,True,69.868,2,1,0,0,27.087,0.810,Stuck,149,q_table_v5.json,False
44,Bot 01,B01,True,65.484,2,1,0,0,26.135,0.806,Stuck,153,q_table_v5.json,False
45,Bot 05,B05,True,252.689,7,6,1,0,54.757,0.802,Stuck,154,q_table_v5.json,False
46,Bot 09,B09,True,75.804,2,1,0,0,27.752,0.798,Stuck,154,q_table_v5.json,False
47,Bot 06,B06,True,139.499,4,3,5,0,41.337,0.794,Stuck,155,q_table_v5.json,False
48,Bot 07,B07,True,170.003,5,4,4,4,58.234,0.790,Stuck,155,q_table_v5.json,False
49,Bot 10,B10,True,69.314,2,1,0,1,28.248,0.786,Stuck,156,q_table_v5.json,False
50,Bot 04,B04,True,65.614,2,1,0,0,26.514,0.782,Stuck,156,q_table_v5.json,False
51,Bot 02,B02,True,102.618,3,2,0,0,39.022,0.778,Stuck,156,q_table_v5.json,False
52,Bot 01,B01,True,67.909,2,1,0,0,26.177,0.774,Stuck,158,q_table_v5.json,False
53,Bot 03,B03,True,253.541,7,6,11,0,69.083,0.771,Stuck,159,q_table_v5.json,False
54,Bot 09,B09,True,64.806,2,1,0,0,29.989,0.767,Stuck,159,q_table_v5.json,False
55,Bot 06,B06,True,69.540,2,1,0,0,25.763,0.763,Stuck,159,q_table_v5.json,False
56,Bot 10,B10,True,68.119,2,1,0,0,28.413,0.759,Stuck,159,q_table_v5.json,False
57,Bot 07,B07,True,102.239,3,2,0,0,32.719,0.755,Stuck,159,q_table_v5.json,False
58,Bot 08,B08,True,328.783,9,8,2,0,56.294,0.751,Stuck,160,q_table_v5.json,False
59,Bot 02,B02,True,68.639,2,1,0,0,27.917,0.748,Stuck,160,q_table_v5.json,False
60,Bot 04,B04,True,64.897,2,1,0,0,29.823,0.744,Stuck,160,q_table_v5.json,False
61,Bot 03,B03,True,31.200,1,0,0,0,22.618,0.740,Stuck,161,q_table_v5.json,False
62,Bot 06,B06,True,67.069,2,1,0,0,25.685,0.737,Stuck,161,q_table_v5.json,False
63,Bot 05,B05,True,327.210,9,8,5,0,69.423,0.733,Stuck,161,q_table_v5.json,False
64,Bot 07,B07,True,67.865,2,1,2,0,28.332,0.729,Stuck,161,q_table_v5.json,False
65,Bot 01,B01,True,221.107,6,5,5,1,51.532,0.726,Stuck,162,q_table_v5.json,False
66,Bot 08,B08,True,66.170,2,1,0,0,32.058,0.722,Stuck,162,q_table_v5.json,False
67,Bot 02,B02,True,70.643,2,1,0,0,30.069,0.718,Stuck,162,q_table_v5.json,False
68,Bot 03,B03,True,68.413,2,1,0,0,27.418,0.715,Stuck,162,q_table_v5.json,False
69,Bot 10,B10,True,98.769,3,2,2,1,37.117,0.711,Stuck,162,q_table_v5.json,False
70,Bot 09,B09,True,226.737,6,5,6,0,51.943,0.708,Stuck,162,q_table_v5.json,False
71,Bot 05,B05,True,65.891,2,1,0,0,26.593,0.704,Stuck,163,q_table_v5.json,False
72,Bot 04,B04,True,221.242,6,5,5,0,54.505,0.701,Stuck,164,q_table_v5.json,False
73,Bot 07,B07,True,106.623,3,2,0,0,32.312,0.697,Stuck,164,q_table_v5.json,False
74,Bot 08,B08,True,72.604,2,1,0,0,27.342,0.694,Stuck,165,q_table_v5.json,False
75,Bot 02,B02,True,67.191,2,1,0,0,27.756,0.690,Stuck,165,q_table_v5.json,False
76,Bot 10,B10,True,67.414,2,1,1,1,26.921,0.687,Stuck,165,q_table_v5.json,False
77,Bot 01,B01,True,150.608,4,3,0,0,33.550,0.683,Stuck,165,q_table_v5.json,False
78,Bot 09,B09,True,66.474,2,1,0,0,29.827,0.680,Stuck,165,q_table_v5.json,False
