Episode,BotName,BotId,SharedQTable,LearningEnabled,TotalReward,CheckpointsReached,BestCheckpointIndex,TargetCheckpointIndex,CoinsCollected,BombsHit,Duration,Epsilon,EndReason,LearnedStateCount,QTableFile,NewBest,TimeSinceCheckpointProgress,LastAction,LastState
1,Bot 10,B10,True,True,-17.018,0,-1,0,0,0,45.034,1.000,Stuck,80,q_table_v6.json,True,45.034,TurnLeftAndAccelerate,cp:0|dist:medium|angle:behindRight|speed:slow|progress:danger|bomb:False|fsm:Recover
2,Bot 07,B07,True,True,521.599,15,14,0,8,0,225.852,0.995,RaceComplete,259,q_table_v6.json,True,0.000,RecoveryTurn,cp:0|dist:far|angle:hardLeft|speed:slow|progress:fresh|bomb:False|fsm:Recover
3,Bot 03,B03,True,True,516.240,15,14,0,3,1,239.048,0.990,RaceComplete,262,q_table_v6.json,False,0.000,TurnRightAndAccelerate,cp:0|dist:far|angle:hardLeft|speed:cruise|progress:fresh|bomb:False|fsm:Recover
4,Bot 06,B06,True,True,513.895,15,14,0,3,0,268.088,0.985,RaceComplete,267,q_table_v6.json,False,0.000,Brake,cp:0|dist:far|angle:hardLeft|speed:slow|progress:fresh|bomb:False|fsm:Recover
5,Bot 08,B08,True,True,503.895,15,14,0,3,4,269.260,0.980,RaceComplete,267,q_table_v6.json,False,0.000,TurnLeftAndAccelerate,cp:0|dist:far|angle:hardLeft|speed:slow|progress:fresh|bomb:False|fsm:Recover
6,Bot 01,B01,True,True,509.230,15,14,0,2,1,274.978,0.975,RaceComplete,268,q_table_v6.json,False,0.000,AccelerateForward,cp:0|dist:far|angle:hardLeft|speed:slow|progress:fresh|bomb:False|fsm:Recover
7,Bot 05,B05,True,True,512.240,15,14,0,3,1,275.559,0.970,RaceComplete,268,q_table_v6.json,False,0.000,AccelerateForward,cp:0|dist:far|angle:hardLeft|speed:slow|progress:fresh|bomb:False|fsm:Recover
8,Bot 09,B09,True,True,511.421,15,14,0,3,1,279.634,0.966,RaceComplete,270,q_table_v6.json,False,0.000,HardRight,cp:0|dist:far|angle:hardLeft|speed:slow|progress:fresh|bomb:False|fsm:Recover
9,Bot 02,B02,True,True,509.489,15,14,0,1,2,285.932,0.961,RaceComplete,270,q_table_v6.json,False,0.000,RecoveryTurn,cp:0|dist:far|angle:hardLeft|speed:cruise|progress:fresh|bomb:False|fsm:Recover
10,Bot 04,B04,True,True,506.003,15,14,0,7,3,298.218,0.956,RaceComplete,271,q_table_v6.json,False,0.000,TurnLeftAndAccelerate,cp:0|dist:far|angle:hardLeft|speed:slow|progress:fresh|bomb:False|fsm:Recover
11,Bot 10,B10,True,True,520.037,15,14,0,0,0,271.274,0.951,RaceComplete,278,q_table_v6.json,False,0.000,TurnRightAndAccelerate,cp:0|dist:far|angle:hardLeft|speed:cruise|progress:fresh|bomb:False|fsm:Recover
12,Bot 07,B07,True,True,523.574,15,14,0,14,0,257.286,0.946,RaceComplete,305,q_table_v6.json,True,0.000,AccelerateForward,cp:0|dist:far|angle:hardLeft|speed:slow|progress:fresh|bomb:False|fsm:Recover
13,Bot 03,B03,True,True,524.708,15,14,0,5,0,246.941,0.942,RaceComplete,305,q_table_v6.json,True,0.000,AccelerateForward,cp:0|dist:far|angle:hardLeft|speed:slow|progress:fresh|bomb:False|fsm:Recover
14,Bot 08,B08,True,True,528.735,15,14,0,3,0,246.058,0.937,RaceComplete,307,q_table_v6.json,True,0.000,TurnRightAndAccelerate,cp:0|dist:far|angle:hardLeft|speed:slow|progress:fresh|bomb:False|fsm:Recover
15,Bot 02,B02,True,True,524.545,15,14,0,1,0,238.268,0.932,RaceComplete,307,q_table_v6.json,False,0.000,Brake,cp:0|dist:far|angle:hardLeft|speed:cruise|progress:fresh|bomb:False|fsm:Recover
16,Bot 06,B06,True,True,524.498,15,14,0,4,1,257.969,0.928,RaceComplete,307,q_table_v6.json,False,0.000,HardLeft,cp:0|dist:far|angle:hardLeft|speed:cruise|progress:fresh|bomb:False|fsm:Recover
17,Bot 09,B09,True,True,523.785,15,14,0,8,0,258.587,0.923,RaceComplete,309,q_table_v6.json,False,0.000,Coast,cp:0|dist:far|angle:hardLeft|speed:slow|progress:fresh|bomb:False|fsm:Recover
