Episode,BotName,BotId,SharedQTable,LearningEnabled,TotalReward,CheckpointsReached,BestCheckpointIndex,TargetCheckpointIndex,CoinsCollected,BombsHit,Duration,Epsilon,EndReason,LearnedStateCount,QTableFile,NewBest,TimeSinceCheckpointProgress,LastAction,LastState
1,Bot 06,B06,True,True,513.466,15,14,15,4,4,298.731,1.000,Stuck,281,q_table_v7.json,True,45.063,Coast,cp:finish|dist:close|angle:behindRight|speed:slow|progress:danger|bomb:False|fsm:Racing
2,Bot 01,B01,True,True,521.830,15,14,15,6,1,300.057,0.995,TimeLimit,283,q_table_v7.json,True,30.285,RecoveryTurn,cp:finish|dist:close|angle:behindRight|speed:slow|progress:danger|bomb:False|fsm:Racing
3,Bot 02,B02,True,True,524.057,15,14,15,4,0,300.057,0.990,TimeLimit,283,q_table_v7.json,True,23.483,TurnRightAndAccelerate,cp:finish|dist:close|angle:forward|speed:slow|progress:stale|bomb:False|fsm:Racing
4,Bot 03,B03,True,True,519.199,15,14,15,3,2,300.057,0.985,TimeLimit,283,q_table_v7.json,False,26.471,Brake,cp:finish|dist:close|angle:behindLeft|speed:slow|progress:stale|bomb:False|fsm:Racing
5,Bot 04,B04,True,True,520.161,15,14,15,0,1,300.057,0.980,TimeLimit,283,q_table_v7.json,False,30.954,TurnLeftAndAccelerate,cp:finish|dist:close|angle:forward|speed:slow|progress:danger|bomb:False|fsm:Racing
6,Bot 05,B05,True,True,521.268,15,14,15,3,0,300.057,0.975,TimeLimit,283,q_table_v7.json,False,23.564,RecoveryTurn,cp:finish|dist:close|angle:forward|speed:slow|progress:stale|bomb:False|fsm:Racing
7,Bot 07,B07,True,True,522.115,15,14,15,8,0,300.057,0.970,TimeLimit,283,q_table_v7.json,False,44.147,TurnLeftAndAccelerate,cp:finish|dist:close|angle:forward|speed:slow|progress:danger|bomb:False|fsm:Racing
8,Bot 08,B08,True,True,521.417,15,14,15,1,0,300.057,0.966,TimeLimit,283,q_table_v7.json,False,35.184,RecoveryTurn,cp:finish|dist:close|angle:forward|speed:slow|progress:danger|bomb:False|fsm:Racing
9,Bot 09,B09,True,True,519.534,15,14,15,3,2,300.057,0.961,TimeLimit,283,q_table_v7.json,False,32.445,HardRight,cp:finish|dist:close|angle:forward|speed:slow|progress:danger|bomb:False|fsm:Racing
10,Bot 10,B10,True,True,514.583,15,14,15,4,1,300.057,0.956,TimeLimit,283,q_table_v7.json,False,36.925,AccelerateForward,cp:finish|dist:medium|angle:behindRight|speed:slow|progress:danger|bomb:False|fsm:Recover
11,Bot 05,B05,True,True,526.124,15,14,15,5,0,277.412,0.951,Stuck,324,q_table_v7.json,True,45.063,TurnLeftAndAccelerate,cp:finish|dist:close|angle:forward|speed:slow|progress:danger|bomb:False|fsm:Racing
12,Bot 01,B01,True,True,527.748,15,14,15,7,0,283.883,0.946,Stuck,326,q_table_v7.json,True,45.016,TurnLeftAndAccelerate,cp:finish|dist:close|angle:behindRight|speed:cruise|progress:danger|bomb:False|fsm:Racing
13,Bot 06,B06,True,True,522.737,15,14,15,1,1,300.062,0.942,TimeLimit,334,q_table_v7.json,False,28.547,HardLeft,cp:finish|dist:close|angle:forward|speed:slow|progress:stale|bomb:False|fsm:Racing
14,Bot 02,B02,True,True,523.887,15,14,15,0,1,300.063,0.937,TimeLimit,335,q_table_v7.json,False,42.819,HardRight,cp:finish|dist:close|angle:behindLeft|speed:slow|progress:danger|bomb:False|fsm:Racing
15,Bot 03,B03,True,True,520.350,15,14,15,2,2,300.063,0.932,TimeLimit,335,q_table_v7.json,False,34.853,RecoveryTurn,cp:finish|dist:close|angle:left|speed:slow|progress:danger|bomb:False|fsm:Racing
16,Bot 04,B04,True,True,520.740,15,14,15,1,2,300.063,0.928,TimeLimit,335,q_table_v7.json,False,43.898,TurnRightAndAccelerate,cp:finish|dist:close|angle:left|speed:slow|progress:danger|bomb:False|fsm:Racing
17,Bot 07,B07,True,True,506.428,15,14,15,4,7,300.063,0.923,TimeLimit,335,q_table_v7.json,False,26.721,RecoveryTurn,cp:finish|dist:close|angle:behindRight|speed:slow|progress:stale|bomb:False|fsm:Racing
18,Bot 08,B08,True,True,522.670,15,14,15,6,1,300.063,0.918,TimeLimit,335,q_table_v7.json,False,38.421,RecoveryTurn,cp:finish|dist:close|angle:forward|speed:slow|progress:danger|bomb:False|fsm:Racing
19,Bot 09,B09,True,True,519.090,15,14,15,5,1,300.063,0.914,TimeLimit,335,q_table_v7.json,False,43.482,TurnRightAndAccelerate,cp:finish|dist:far|angle:behindRight|speed:slow|progress:danger|bomb:False|fsm:Recover
20,Bot 10,B10,True,True,523.990,15,14,15,2,0,300.063,0.909,TimeLimit,335,q_table_v7.json,False,28.712,HardRight,cp:finish|dist:close|angle:forward|speed:slow|progress:stale|bomb:False|fsm:Racing
21,Bot 03,B03,True,True,213.748,6,5,6,4,0,124.493,0.905,Stuck,378,q_table_v7.json,False,45.050,Coast,cp:6|dist:close|angle:hardRight|speed:slow|progress:danger|bomb:False|fsm:Recover
22,Bot 02,B02,True,True,157.523,5,4,5,0,3,133.382,0.900,Stuck,382,q_table_v7.json,False,45.088,AccelerateForward,cp:5|dist:close|angle:behindRight|speed:slow|progress:danger|bomb:False|fsm:Recover
23,Bot 08,B08,True,True,530.474,15,14,15,9,0,272.203,0.896,Stuck,416,q_table_v7.json,True,45.021,TurnLeftAndAccelerate,cp:finish|dist:medium|angle:forward|speed:slow|progress:danger|bomb:False|fsm:Racing
24,Bot 05,B05,True,True,519.392,15,14,15,14,2,300.017,0.891,TimeLimit,421,q_table_v7.json,False,40.033,HardRight,cp:finish|dist:close|angle:behindRight|speed:slow|progress:danger|bomb:False|fsm:Racing
25,Bot 01,B01,True,True,515.271,15,14,15,1,2,300.075,0.887,TimeLimit,430,q_table_v7.json,False,19.734,Brake,cp:finish|dist:close|angle:behindRight|speed:slow|progress:stale|bomb:False|fsm:Racing
26,Bot 06,B06,True,True,530.997,15,14,15,3,0,290.148,0.882,Stuck,436,q_table_v7.json,True,45.080,HardRight,cp:finish|dist:close|angle:forward|speed:slow|progress:danger|bomb:False|fsm:Racing
27,Bot 04,B04,True,True,474.852,14,13,14,1,3,295.461,0.878,Stuck,439,q_table_v7.json,False,45.075,RecoveryTurn,cp:14|dist:close|angle:forward|speed:slow|progress:danger|bomb:False|fsm:Racing
28,Bot 10,B10,True,True,522.369,15,14,15,1,2,297.092,0.873,Stuck,439,q_table_v7.json,False,45.017,Coast,cp:finish|dist:close|angle:behindLeft|speed:slow|progress:danger|bomb:False|fsm:Racing
29,Bot 02,B02,True,True,246.473,7,6,7,1,0,164.422,0.869,Stuck,440,q_table_v7.json,False,45.093,HardLeft,cp:7|dist:medium|angle:forward|speed:slow|progress:danger|bomb:False|fsm:Racing
30,Bot 07,B07,True,True,518.719,15,14,15,0,2,300.038,0.865,TimeLimit,440,q_table_v7.json,False,35.340,AccelerateForward,cp:finish|dist:close|angle:left|speed:slow|progress:danger|bomb:False|fsm:Racing
31,Bot 09,B09,True,True,525.867,15,14,15,0,0,300.038,0.860,TimeLimit,440,q_table_v7.json,False,41.163,TurnRightAndAccelerate,cp:finish|dist:close|angle:behindLeft|speed:slow|progress:danger|bomb:False|fsm:Racing
32,Bot 05,B05,True,True,220.307,6,5,6,2,0,117.608,0.856,Stuck,470,q_table_v7.json,False,45.089,RecoveryTurn,cp:6|dist:close|angle:forward|speed:slow|progress:danger|bomb:False|fsm:Collect
33,Bot 03,B03,True,True,528.178,15,14,15,1,1,253.007,0.852,Stuck,490,q_table_v7.json,False,45.058,AccelerateForward,cp:finish|dist:close|angle:behindLeft|speed:slow|progress:danger|bomb:False|fsm:Racing
34,Bot 04,B04,True,True,529.730,15,14,15,2,0,269.276,0.848,Stuck,495,q_table_v7.json,False,45.062,TurnRightAndAccelerate,cp:finish|dist:close|angle:right|speed:slow|progress:danger|bomb:False|fsm:Racing
35,Bot 01,B01,True,True,526.379,15,14,15,0,1,275.751,0.843,Stuck,500,q_table_v7.json,False,45.063,HardLeft,cp:finish|dist:close|angle:forward|speed:slow|progress:danger|bomb:False|fsm:Racing
36,Bot 09,B09,True,True,526.625,15,14,15,6,0,278.153,0.839,Stuck,502,q_table_v7.json,False,45.060,TurnLeftAndAccelerate,cp:finish|dist:close|angle:behindLeft|speed:slow|progress:danger|bomb:False|fsm:Racing
37,Bot 07,B07,True,True,527.274,15,14,15,8,1,279.646,0.835,Stuck,505,q_table_v7.json,False,45.060,RecoveryTurn,cp:finish|dist:close|angle:behindRight|speed:slow|progress:danger|bomb:False|fsm:Racing
38,Bot 06,B06,True,True,514.199,15,14,15,0,4,282.968,0.831,Stuck,510,q_table_v7.json,False,45.061,AccelerateForward,cp:finish|dist:close|angle:behindLeft|speed:cruise|progress:danger|bomb:False|fsm:Racing
